ID,Producto,Precio,Stock
SKU-001,"Hub USB-C 5 en 1, Silencioso",1281.76,216
SKU-002,"Auriculares Bluetooth, Dual-Band",743.81,112
SKU-003,"Disco HDD 1TB, EdiciÃ³n 2025 EconÃ³mico",30.04,194
SKU-004,"Smartwatch Deportivo, USB-C",644.93,40
SKU-005,"Impresora MultifunciÃ³n, USB-C",26.05,437
SKU-006,Soporte para Laptop,311.85,359
SKU-007,Base para celular,1165.62,112
SKU-008,"Base para celular, Alta Velocidad",1047.69,448
SKU-009,"CÃ¡mara tÃ©rmica, Reforzado",1072.64,275
SKU-010,CÃ¡mara Web Full HD,898.53,46
SKU-011,"Bluetooth Dongle, Profesional",1169.34,239
SKU-012,"Teclado compacto, EdiciÃ³n 2025",323.50,57
SKU-013,"MicrÃ³fono Lavalier, Blanco EdiciÃ³n 2025",38.48,445
SKU-014,"CÃ¡mara Web 4K, Dual-Band",12.04,306
SKU-015,"Tablet 8"", Profesional USB-C",36.00,43
SKU-016,"CÃ¡mara PTZ, Compacto Premium",495.78,493
SKU-017,Proyector 4K,283.98,224
SKU-018,"Altavoz PortÃ¡til, RGB RGB",9.11,117
SKU-019,Silla ErgonÃ³mica,45.67,370
SKU-020,"SSD 4TB, RGB Reforzado",587.08,442
SKU-021,"CÃ¡mara PTZ, Profesional",1034.11,229
SKU-022,"CÃ¡mara de Seguridad, Silencioso Blanco",15.24,333
SKU-023,Laptop BÃ¡sica,114.11,442
SKU-024,MicrÃ³fono Condensador,209.80,216
SKU-025,Lector NFC,39.85,296
SKU-026,"SSD externo 2TB, WiFi 6E Alta Velocidad",939.82,41
SKU-027,"SSD NVMe 500GB, Compacto",1072.35,20
SKU-028,"Teclado Gamer, WiFi 6E",284.72,234
SKU-029,SSD 2TB,969.99,109
SKU-030,"Tablet Pro, USB-C",204.99,313
SKU-031,"SSD 128GB, Recargable Profesional",146.55,144
SKU-032,"CÃ¡mara IP, WiFi 6E",13.72,47
SKU-033,"Hub USB-C 5 en 1, Silencioso Alta Velocidad",1418.86,361
SKU-034,"Router WiFi 6 Pro, Profesional Compacto",1158.45,75
SKU-035,"CÃ¡mara 360"", Recargable",114.65,341
SKU-036,"Memoria USB 128GB, Negro Mate",99.96,451
SKU-037,"SSD 500GB, WiFi 6E",72.94,403
SKU-038,"Lector NFC, Alta Velocidad",57.79,114
SKU-039,"Monitor 27"" Full HD",1145.80,204
SKU-040,Mouse Vertical,146.53,19
SKU-041,"Memoria USB 128GB, USB-C WiFi 6E",21.40,362
SKU-042,"CÃ¡mara 360"", Dual-Band",19.02,368
SKU-043,"Soporte Celular, Negro Mate WiFi 6E",63.65,315
SKU-044,"Lector de CD externo, EdiciÃ³n 2025",683.66,226
SKU-045,"Mouse Vertical, Reforzado",1098.65,171
SKU-046,Parlantes EstÃ©reo,93.82,243
SKU-047,"Tablet 7""",456.94,204
SKU-048,"Adaptador HDMI, EdiciÃ³n 2025",1053.19,237
SKU-049,"Tablet 10"", Profesional Blanco",657.41,313
SKU-050,Teclado inalÃ¡mbrico,437.54,132
SKU-051,"Bluetooth Dongle, Silencioso",264.15,120
SKU-052,"Lector de Huellas, Compacto",738.53,169
SKU-053,"Laptop BÃ¡sica, Alta Velocidad Dual-Band",913.67,194
SKU-054,"Monitor 27"", USB-C",1276.75,409
SKU-055,CÃ¡mara IP,563.87,370
SKU-056,"Monitor Curvo 32""",37.34,42
SKU-057,"Smartwatch Plus, Blanco EconÃ³mico",529.77,142
SKU-058,Bluetooth Dongle,228.17,114
SKU-059,"SSD 128GB, Alta Velocidad",115.97,242
SKU-060,"Laptop Premium, Dual-Band",22.35,398
SKU-061,Disco Duro Externo 2TB,722.54,482
SKU-062,"CÃ¡mara tÃ©rmica, RGB",984.74,400
SKU-063,"Impresora LÃ¡ser, Negro Mate",356.96,54
SKU-064,"CÃ¡mara 360""",282.68,315
SKU-065,Hub 10 puertos,22.34,142
SKU-066,"Disco HDD 1TB, Blanco",621.87,108
SKU-067,Altavoz Inteligente,110.43,43
SKU-068,Mini PC,23.12,47
SKU-069,"MicrÃ³fono Lavalier, RGB",1197.85,169
SKU-070,Altavoz Inteligente,983.69,486
SKU-071,LÃ¡mpara de escritorio,1432.15,144
SKU-072,Smartwatch Deportivo,16.78,498
SKU-073,"Tablet 10"", Premium Reforzado",10.39,129
SKU-074,"Monitor 27"", Compacto",1004.44,485
SKU-075,"Soporte Celular, RGB",1057.98,194
SKU-076,Disco HDD 1TB,16.81,485
SKU-077,"LÃ¡mpara de escritorio, Dual-Band",653.60,230
SKU-078,"Parlante RGB, Recargable Alta Velocidad",281.69,403
SKU-079,"CÃ¡mara Web 4K, Dual-Band Negro Mate",10.79,84
SKU-080,"Smartwatch Classic, Recargable Blanco",868.47,224
